Dates worked,Day of Week,Hours,Hourly,Total Hourly,Tip out,Online Tips,Sum of Tips,Total of the Night,$ per Hour,Tips per Hour,Cumulative,Total with taxes,Cumulative with taxes,Cumulative Lost From Taxes,Days Worked,Avg Money,Cumulative Tips,Estimated Check,Weekly tips,Week Total,,Total Hourly,Total Tip Out,Total Online Tips
6/14/2023,3,4.00,$15.00,$60.00,$10.00,$0.00,$10.00,$70.00,$17.50,$2.50,$70.00,$59.41,$59.41,$10.59,1,$70.00,$10.00,$59.41,$10.00,$69.41,Total Hourly,"$1,857.90",$526.00,$911.00
6/19/2023,1,4.00,$15.00,$60.00,$10.00,$30.00,$40.00,$100.00,$25.00,$10.00,$170.00,$89.41,$148.82,$21.18,2,$85.00,$50.00,,,,Total Tip Out,$526.00,,
6/20/2023,2,4.00,$15.00,$60.00,$10.00,$20.00,$30.00,$90.00,$22.50,$7.50,$260.00,$79.41,$228.23,$31.77,3,$86.67,$80.00,,,,Total Online Tips,$911.00,,
6/21/2023,3,4.00,$15.00,$60.00,$20.00,$60.00,$80.00,$140.00,$35.00,$20.00,$400.00,$129.41,$357.64,$42.36,4,$100.00,$160.00,$148.23,$150.00,$298.23,,,,
6/26/2023,1,4.00,$15.00,$60.00,$15.00,$37.00,$52.00,$112.00,$28.00,$13.00,$512.00,$101.41,$459.05,$52.95,5,$102.40,$212.00,,,,,,,
6/27/2023,2,4.00,$15.00,$60.00,$11.00,$38.00,$49.00,$109.00,$27.25,$12.25,$621.00,$98.41,$557.46,$63.54,6,$103.50,$261.00,,,,2023,,,
6/28/2023,3,4.00,$15.00,$60.00,$20.00,$3.00,$23.00,$83.00,$20.75,$5.75,$704.00,$72.41,$629.87,$74.13,7,$100.57,$284.00,$148.23,$124.00,$272.23,Avg Tip Out:,$16.97,,
7/10/2023,1,3.78,$15.00,$56.70,$13.00,$47.00,$60.00,$116.70,$30.87,$15.87,$820.70,$106.69,$736.56,$84.14,8,$102.59,$344.00,,,,Avg Online Tips:,$29.39,,
7/11/2023,2,4.38,$15.00,$65.70,$14.00,$42.00,$56.00,$121.70,$27.79,$12.79,$942.40,$110.10,$846.67,$95.73,9,$104.71,$400.00,,,,2024,,,
7/12/2023,3,3.99,$15.00,$59.85,$17.00,$28.00,$45.00,$104.85,$26.28,$11.28,"$1,047.25",$94.29,$940.95,$106.30,10,$104.73,$445.00,$150.08,$161.00,$311.08,Avg Tip Out:,$34.94,,
7/18/2023,2,4,$15.00,$60.00,$21.00,$23.00,$44.00,$104.00,$26.00,$11.00,"$1,151.25",$93.41,"$1,034.36",$116.89,11,$104.66,$489.00,,,,Avg Online Tips:,$23.83,,
7/19/2023,3,4.21,$15.00,$63.15,$12.00,$27.00,$39.00,$102.15,$24.26,$9.26,"$1,253.40",$91.00,"$1,125.37",$128.03,12,$104.45,$528.00,,,,,$26.50,,
7/22/2023,5,4.57,$15.00,$68.55,$28.00,$68.00,$96.00,$164.55,$36.01,$21.01,"$1,417.95",$152.45,"$1,277.82",$140.13,13,$109.07,$624.00,$157.86,$179.00,$336.86,,$26.44,,
7/24/2023,1,3.92,$15.00,$58.80,$26.00,$17.00,$43.00,$101.80,$25.97,$10.97,"$1,519.75",$91.42,"$1,369.24",$150.51,14,$108.55,$667.00,,,,,,,
7/25/2023,2,4.06,$15.00,$60.90,$21.00,$43.00,$64.00,$124.90,$30.76,$15.76,"$1,644.65",$114.15,"$1,483.39",$161.26,15,$109.64,$731.00,,,,,,,
7/26/2023,3,4.12,$15.00,$61.80,$19.00,$44.00,$63.00,$124.80,$30.29,$15.29,"$1,769.45",$113.89,"$1,597.28",$172.17,16,$110.59,$794.00,$149.47,$170.00,$319.47,,,,
7/31/2023,1,3.89,$15.00,$58.35,$22.00,$47.00,$69.00,$127.35,$32.74,$17.74,"$1,896.80",$117.05,"$1,714.33",$182.47,17,$111.58,$863.00,,,,,,,
8/1/2023,2,3.9,$15.00,$58.50,$8.00,$40.00,$48.00,$106.50,$27.31,$12.31,"$2,003.30",$96.17,"$1,810.51",$192.79,18,$111.29,$911.00,,,,,,,
8/2/2023,3,3.91,$15.00,$58.65,$25.00,$61.00,$86.00,$144.65,$36.99,$21.99,"$2,147.95",$134.30,"$1,944.81",$203.14,19,$113.05,$997.00,,,,,,,
8/5/2023,5,4,$15.00,$60.00,$29.00,$48.00,$77.00,$137.00,$34.25,$19.25,"$2,284.95",$126.41,"$2,071.22",$213.73,20,$114.25,"$1,074.00",$193.93,$280.00,$473.93,,,,
8/7/2023,1,3.88,$15.00,$58.20,$25.00,$48.00,$73.00,$131.20,$33.81,$18.81,"$2,416.15",$120.93,"$2,192.15",$224.00,21,$115.05,"$1,147.00",,,,,,,
8/8/2023,2,3.61,$15.00,$54.15,$0.00,$0.00,$0.00,$54.15,$15.00,$0.00,"$2,470.30",$44.59,"$2,236.74",$233.56,22,$112.29,"$1,147.00",,,,,,,
8/9/2023,3,3.8,$15.00,$57.00,$23.00,$13.00,$36.00,$93.00,$24.47,$9.47,"$2,563.30",$82.94,"$2,319.68",$243.62,23,$111.45,"$1,183.00",$139.46,$109.00,$248.46,,,,
8/14/2023,1,3.93,$15.00,$58.95,$15.00,$25.00,$40.00,$98.95,$25.18,$10.18,"$2,662.25",$88.55,"$2,408.22",$254.02,24,$110.93,"$1,223.00",,,,,,,
8/15/2023,2,4.75,$15.00,$71.25,$10.00,$20.00,$30.00,$101.25,$21.32,$6.32,"$2,763.50",$88.67,"$2,496.90",$266.60,25,$110.54,"$1,253.00",,,,,,,
8/16/2023,3,3.8,$15.00,$57.00,$11.00,$0.00,$11.00,$68.00,$17.89,$2.89,"$2,831.50",$57.94,"$2,554.84",$276.66,26,$108.90,"$1,264.00",$154.16,$81.00,$235.16,,,,
8/21/2023,1,3.8,$15.00,$57.00,$16.00,$10.00,$26.00,$83.00,$21.84,$6.84,"$2,914.50",$72.94,"$2,627.78",$286.72,27,$107.94,"$1,290.00",,,,,,,
8/22/2023,2,3.66,$15.00,$54.90,$21.00,$30.00,$51.00,$105.90,$28.93,$13.93,"$3,020.40",$96.21,"$2,723.99",$296.41,28,$107.87,"$1,341.00",,,,,,,
8/23/2023,3,4.05,$15.00,$60.75,$23.00,$12.00,$35.00,$95.75,$23.64,$8.64,"$3,116.15",$85.03,"$2,809.01",$307.13,29,$107.45,"$1,376.00",$142.18,$112.00,$254.18,,,,
8/28/2023,1,3.61,$15.00,$54.15,$19.00,$20.00,$39.00,$93.15,$25.80,$10.80,"$3,209.30",$83.59,"$2,892.61",$316.69,30,$106.98,"$1,415.00",,,,,,,
8/30/2023,3,4.24,$15.00,$63.60,$12.00,$10.00,$22.00,$85.60,$20.19,$5.19,"$3,294.90",$74.37,"$2,966.98",$327.92,31,$106.29,"$1,437.00",$96.97,$61.00,$157.97,,,,
6/3/2024,1,4.08,$15.00,$61.20,$33.00,$25.00,$58.00,$119.20,$29.22,$14.22,"$3,414.10",$108.40,"$3,075.38",$338.72,32,$106.69,"$1,495.00",,,,,,,
6/4/2024,2,4.22,$15.00,$63.30,$20.00,$0.00,$20.00,$83.30,$19.74,$4.74,"$3,497.40",$72.13,"$3,147.51",$349.89,33,$105.98,"$1,515.00",,,,,,,
6/5/2024,3,4.16,$15.00,$62.40,$22.00,$6.00,$28.00,$90.40,$21.73,$6.73,"$3,587.80",$79.39,"$3,226.89",$360.90,34,$105.52,"$1,543.00",$153.91,$106.00,$259.91,,,,
6/10/2024,1,3.98,$15.00,$59.70,$20.00,$34.00,$54.00,$113.70,$28.57,$13.57,"$3,701.50",$103.16,"$3,330.06",$371.44,35,$105.76,"$1,597.00",,,,,,,
6/12/2024,3,4.18,$15.00,$62.70,$39.00,$9.00,$48.00,$110.70,$26.48,$11.48,"$3,812.20",$99.63,"$3,429.69",$382.51,36,$105.89,"$1,645.00",$100.80,$102.00,$202.80,,,,
6/17/2024,1,4.42,$15.00,$66.30,$40.00,$31.00,$71.00,$137.30,$31.06,$16.06,"$3,949.50",$125.60,"$3,555.29",$394.21,37,$106.74,"$1,716.00",,,,,,,
6/18/2024,2,4.09,$15.00,$61.35,$10.00,$23.00,$33.00,$94.35,$23.07,$8.07,"$4,043.85",$83.52,"$3,638.81",$405.04,38,$106.42,"$1,749.00",,,,,,,
6/19/2024,3,3.97,$15.00,$59.55,$30.00,$7.00,$37.00,$96.55,$24.32,$9.32,"$4,140.40",$86.04,"$3,724.85",$415.55,39,$106.16,"$1,786.00",$154.16,$141.00,$295.16,,,,
6/24/2024,1,4.47,$15.00,$67.05,$42.00,$28.00,$70.00,$137.05,$30.66,$15.66,"$4,277.45",$125.22,"$3,850.06",$427.38,40,$106.94,"$1,856.00",,,,,,,
6/25/2024,2,4.35,$15.00,$65.25,$32.00,$27.00,$59.00,$124.25,$28.56,$13.56,"$4,401.70",$112.73,"$3,962.80",$438.90,41,$107.36,"$1,915.00",,,,,,,
6/26/2024,3,3.93,$15.00,$58.95,$34.00,$15.00,$49.00,$107.95,$27.47,$12.47,"$4,509.65",$97.55,"$4,060.34",$449.30,42,$107.37,"$1,964.00",$157.49,$178.00,$335.49,,,,
7/1/2024,1,4.41,$15.00,$66.15,$57.00,$65.00,$122.00,$188.15,$42.66,$27.66,"$4,697.80",$176.47,"$4,236.82",$460.98,43,$109.25,"$2,086.00",,,,,,,
7/2/2024,2,4.61,$15.00,$69.15,$40.00,$44.00,$84.00,$153.15,$33.22,$18.22,"$4,850.95",$140.95,"$4,377.76",$473.19,44,$110.25,"$2,170.00",,,,,,,
7/3/2024,3,4.27,$15.00,$64.05,$65.00,$40.00,$105.00,$169.05,$39.59,$24.59,"$5,020.00",$157.75,"$4,535.51",$484.49,45,$111.56,"$2,275.00",,,,,,,
7/4/2024,4,4.92,$15.00,$73.80,$60.00,$0.00,$60.00,$133.80,$27.20,$12.20,"$5,153.80",$120.77,"$4,656.28",$497.52,46,$112.04,"$2,335.00",$224.94,$371.00,$595.94,,,,
7/8/2024,1,4.07,$15.00,$61.05,$40.00,$34.00,$74.00,$135.05,$33.18,$18.18,"$5,288.85",$124.27,"$4,780.56",$508.29,47,$112.53,"$2,409.00",,,,,,,
7/9/2024,2,4.18,$15.00,$62.70,$32.00,$0.00,$32.00,$94.70,$22.66,$7.66,"$5,383.55",$83.63,"$4,864.19",$519.36,48,$112.16,"$2,441.00",,,,,,,
7/10/2024,3,4.42,$15.00,$66.30,$65.00,$10.00,$75.00,$141.30,$31.97,$16.97,"$5,524.85",$129.60,"$4,993.79",$531.06,49,$112.75,"$2,516.00",$156.51,$181.00,$337.51,,,,
7/15/2024,1,4.12,$15.00,$61.80,$44.00,$26.00,$70.00,$131.80,$31.99,$16.99,"$5,656.65",$120.89,"$5,114.68",$541.97,50,$113.13,"$2,586.00",,,,,,,
7/16/2024,2,4.42,$15.00,$66.30,$46.00,$38.00,$84.00,$150.30,$34.00,$19.00,"$5,806.95",$138.60,"$5,253.28",$553.67,51,$113.86,"$2,670.00",,,,,,,
7/17/2024,3,4.15,$15.00,$62.25,$44.00,$5.00,$49.00,$111.25,$26.81,$11.81,"$5,918.20",$100.26,"$5,353.54",$564.66,52,$113.81,"$2,719.00",$156.75,$203.00,$359.75,,,,
7/22/2024,1,4.12,$15.00,$61.80,$22.00,$10.00,$32.00,$93.80,$22.77,$7.77,"$6,012.00",$82.89,"$5,436.43",$575.56,53,$113.43,"$2,751.00",,,,,,,
7/23/2024,2,4.04,$15.00,$60.60,$32.00,$45.00,$77.00,$137.60,$34.06,$19.06,"$6,149.60",$126.90,"$5,563.34",$586.26,54,$113.88,"$2,828.00",,,,,,,
7/24/2024,3,4.11,$15.00,$61.65,$34.00,$11.00,$45.00,$106.65,$25.95,$10.95,"$6,256.25",$95.77,"$5,659.11",$597.14,55,$113.75,"$2,873.00",$151.57,$154.00,$305.57,,,,
7/29/2024,1,4.15,$15.00,$62.25,$40.00,$20.00,$60.00,$122.25,$29.46,$14.46,"$6,378.50",$111.26,"$5,770.37",$608.13,56,$113.90,"$2,933.00",,,,,,,
7/30/2024,2,4.2,$15.00,$63.00,$10.00,$14.00,$24.00,$87.00,$20.71,$5.71,"$6,465.50",$75.88,"$5,846.25",$619.25,57,$113.43,"$2,957.00",,,,,,,
7/31/2024,3,4.27,$15.00,$64.05,$26.00,$12.00,$38.00,$102.05,$23.90,$8.90,"$6,567.55",$90.75,"$5,936.99",$630.55,58,$113.23,"$2,995.00",$155.89,$122.00,$277.89,,,,
8/6/2024,2,3.77,$15.00,$56.55,$28.00,$13.00,$41.00,$97.55,$25.88,$10.88,"$6,665.10",$87.57,"$6,024.56",$640.53,59,$112.97,"$3,036.00",,,,,,,
8/7/2024,3,4.39,$15.00,$65.85,$30.00,$7.00,$37.00,$102.85,$23.43,$8.43,"$6,767.95",$91.23,"$6,115.79",$652.16,60,$112.80,"$3,073.00",,,,,,,
8/9/2024,5,4.6,$15.00,$69.00,$44.00,$103.00,$147.00,$216.00,$46.96,$31.96,"$6,983.95",$203.82,"$6,319.61",$664.33,61,$114.49,"$3,220.00",$157.62,$225.00,$382.62,,,,
8/12/2024,1,4.06,$15.00,$60.90,$24.00,$17.00,$41.00,$101.90,$25.10,$10.10,"$7,085.85",$91.15,"$6,410.76",$675.08,62,$114.29,"$3,261.00",,,,,,,
8/13/2024,2,4.06,$15.00,$60.90,$29.00,$20.00,$49.00,$109.90,$27.07,$12.07,"$7,195.75",$99.15,"$6,509.92",$685.83,63,$114.22,"$3,310.00",,,,,,,
8/14/2024,3,4.1,$15.00,$61.50,$31.00,$25.00,$56.00,$117.50,$28.66,$13.66,"$7,313.25",$106.65,"$6,616.56",$696.69,64,$114.27,"$3,366.00",,,,,,,
8/19/2024,1,4.07,$15.00,$61.05,$38.00,$46.00,$84.00,$145.05,$35.64,$20.64,"$7,458.30",$134.27,"$6,750.84",$707.46,65,$114.74,"$3,450.00",,,,,,,
8/20/2024,2,3.99,$15.00,$59.85,$20.00,$24.00,$44.00,$103.85,$26.03,$11.03,"$7,562.15",$93.29,"$6,844.12",$718.03,66,$114.58,"$3,494.00",,,,,,,